Nbr,Player,Wiki,Years-Played,DOB,Place-of-Birth,Played-For
19,Blake Griffin, https://en.wikipedia.org/wiki/Blake_Griffin,10,"March 16, 1989","Oklahoma City, Oklahoma",Los Angeles Clippers and the Detroit Pistons
20,James Harden, https://en.wikipedia.org/wiki/James_Harden,10,"August 26,1989","Los Angeles, California",Oklahoma City Thunder and the Houston Rockets
21,Grant Hill, https://en.wikipedia.org/wiki/Grant_Hill,19,"October 5,1972","Dallas, Texas","Detroit Pistons, Orlando Magic, Phoenix Suns and the Los Angeles Clippers"
22,Kyrie Irving, https://en.wikipedia.org/wiki/Kyrie_Irving,8,"March 23,1992","Melbourne, Australia",Cleveland Cavaliers and the Boston Celtics
23,Allen Iverson ,https://en.wikipedia.org/wiki/Allen_Iverson,15,"June 7,1975","Hampton, Virginia","Philadelphia 76ers, Denver Nuggets, Detroit Pistons and the Memphis Grizzlies "
24, Lebron James ,https://en.wikipedia.org/wiki/Lebron_James,16,"December 30,1984","Akron, Ohio","Cleveland Cavaliers, Miami Heat, and the Los Angeles Lakers"
25,Magic Johnson, https://en.wikipedia.org/wiki/Magic_Johnson,13,"August 14,1959","Lansing, Michigan",Los Angeles Lakers
26,Michael Jordan ,https://en.wikipedia.org/wiki/Michael_Jordan,14,"February 17,1963","Brooklyn, New York",Chicago Bulls and the Washington Wizards"
27,Shawn Kemp, https://en.wikipedia.org/wiki/Shawn_Kemp,14,"November 26,1969","Elkhart, Indiana","Seattle Supersonics (Currently Oklahoma City Thunder), Cleveland Cavaliers, Portland Trailblazers and the Orlando Magic"
28,Jason Kidd, https://en.wikipedia.org/wiki/Jason_Kidd,19,"March 23,1973","San Francisco, California","Dallas Mavericks, Phoenix Suns, New Jersey Nets and the New York Knicks"
29,Bernard King, https://en.wikipedia.org/wiki/Bernard_King,16,"December 4,1956","Brooklyn, New York","Utah Jazz, Golden State Warriors, New York Knicks, Washington Bullets (Currently known as the Washington Wizards), New Jersey Nets"
30,Kawhi Leonard, https://en.wikipedia.org/wiki/Kawhi_Leonard,8,"June 29,1991","Los Angeles, California",San Antonio Spurs and the Toronto Raptors
31,Damian Lillard ,https://en.wikipedia.org/wiki/Damian_Lillard,7,"July 15,1990","Oakland, California",Portland Trailblazers
32,Karl Malone, https://en.wikipedia.org/wiki/Karl_Malone,19,"July 24,1963","Summerfield, Louisiana",Utah Jazz and the Los Angeles Lakers
33,Moses Malone, https://en.wikipedia.org/wiki/Moses_Malone,21,"March 23,1955","Petersburg, Virginia","Buffalo Braves (Currently Known as the Los Angeles Clippers), Houston Rockets, Philadelphia 76ers, Washington Bullets (Currently Known as the Washington Wizards), Atlanta Hawks, Milwaukee Bucks and the San Antonio Spurs"
34,Pete Maravich, https://en.wikipedia.org/wiki/Pete_Maravich ,10,"June 22,1947","Aliquippa, Pennsylvania","Atlanta Hawks, Utah Jazz and the Boston Celtics "
35,Tracy McGrady, https://en.wikipedia.org/wiki/Tracy_McGrady,16,"May 24, 1979","Bartow, Florida","Toronto Raptors, Orlando Magic, Houston Rockets, New York Knicks, Detroit Pistons, Atlanta Hawks and the San Antonio Spurs                                                                                                     "
36,Kevin McHale, https://en.wikipedia.org/wiki/Kevin_McHale_(basketball),13,"December 19,1957","Hibbing, Minnesota",Boston Celtics
37,Reggie Miller, https://en.wikipedia.org/wiki/Reggie_Miller,18,"August 24,1965","Riverside, California",Indiana Pacers
38,Yao Ming, https://en.wikipedia.org/wiki/Yao_Ming,14,"September 12, 1980","Shanghai, China",Houston Rockets
39,Alonzo Mourning ,https://en.wikipedia.org/wiki/Alonzo_Mourning,16,February 8 1970,"Chesapeake, Virginia","Charlotte Hornets, New Jersey Nets and the Miami Heat"
40,Dikembe Mutombo, https://en.wikipedia.org/wiki/Dikembe_Mutombo,18,June 25 1966,"Lèopoldville, DR Congo","Denver Nuggets, Atlanta Hawks, Philadelphia 76ers, New Jersey Nets, New York Knicks and the Houston Rockets"
41,Steve Nash, https://en.wikipedia.org/wiki/Steve_Nash,19,February 7 1974,"Johannesburg, South Africa","Dallas Mavericks, Phoenix Suns and the Los Angeles Lakers"
42,Dirk Nowitzki ,https://en.wikipedia.org/wiki/Dirk_Nowitzki,20,"June 19,1978","Würzburg, West Germany",Dallas Mavericks
43,Shaquille O'Neal, https://en.wikipedia.org/wiki/Shaquille_O'Neal,19,"March 6,1972","Newark, New Jersey","Orlando Magic, Los Angeles Lakers, Miami Heat, Phoenix Suns,  Cleveland Cavaliers and the  Boston Celtics"
44,Hakeem Olajuwan, https://en.wikipedia.org/wiki/Hakeem_Olajuwon,18,"January 21, 1963","Lagos, Nigeria",Houston Rockets and the Toronto Raptors
45,Chris Paul, https://en.wikipedia.org/wiki/Chris_Paul,14,"May 6,1985","Winston-Salem, North Carolina","New Orleans Hornets (Currently New Orleans Pelicans), Los Angeles Clippers and the Houston Rockets"
46,Tony Parker, https://en.wikipedia.org/wiki/Tony_Parker,17,"May 17,1982","Bruges, Belgium",San Antonio Spurs and the Charlotte Hornets
47,Gary Payton, https://en.wikipedia.org/wiki/Gary_Payton,17,"July 23, 1968","Oakland, California","Seattle Supersonics (Currently Oklahoma City Thunder), Milwaukee Bucks, Los Angeles Lakers, Boston Celtics and the Miami Heat"
48,Scottie Pippen, https://en.wikipedia.org/wiki/Scottie_Pippen,21,"September 25,1965","Hamburg, Arkansas","Chicago Bulls, Houston Rockets and the Portland Trailblazers"
49,Oscar Robertson, https://en.wikipedia.org/wiki/Oscar_Robertson,14,"November 24,1938","Charlotte, Tennessee", Cincinnati Royals (Currently known as the Sacramento Kings) and the Milwaukee Bucks
50,John Stockton, https://en.wikipedia.org/wiki/John_Stockton,19,"March 26, 1962","Spokane, Washington",Utah Jazz
